State,Area Code,Data
Alaska,907,201
Alaska,907,202
Alaska,907,203
Alaska,907,204
Alaska,907,205
Alaska,907,207
Alaska,907,209
Alaska,907,210
Alaska,907,213
Alaska,907,214
Alaska,907,219
Alaska,907,223
Alaska,907,227
Alaska,907,229
Alaska,907,230
Alaska,907,232
Alaska,907,250
Alaska,907,252
Alaska,907,292
Alaska,907,299
Alaska,907,301
Alaska,907,302
Alaska,907,304
Alaska,907,305
Alaska,907,306
Alaska,907,308
Alaska,907,312
Alaska,907,314
Alaska,907,315
Alaska,907,317
Alaska,907,319
Alaska,907,320
Alaska,907,347
Alaska,907,350
Alaska,907,351
Alaska,907,360
Alaska,907,367
Alaska,907,378
Alaska,907,379
Alaska,907,382
Alaska,907,388
Alaska,907,390
Alaska,907,401
Alaska,907,406
Alaska,907,409
Alaska,907,414
Alaska,907,419
Alaska,907,429
Alaska,907,448
Alaska,907,482
Alaska,907,483
Alaska,907,491
Alaska,907,502
Alaska,907,505
Alaska,907,513
Alaska,907,518
Alaska,907,519
Alaska,907,521
Alaska,907,540
Alaska,907,599
Alaska,907,602
Alaska,907,606
Alaska,907,612
Alaska,907,615
Alaska,907,616
Alaska,907,617
Alaska,907,630
Alaska,907,651
Alaska,907,654
Alaska,907,669
Alaska,907,671
Alaska,907,687
Alaska,907,690
Alaska,907,723
Alaska,907,738
Alaska,907,750
Alaska,907,791
Alaska,907,795
Alaska,907,802
Alaska,907,821
Alaska,907,830
Alaska,907,831
Alaska,907,841
Alaska,907,854
Alaska,907,885
Alaska,907,903
Alaska,907,912
Alaska,907,925
Alaska,907,942
Alaska,907,947
Alaska,907,952
Alaska,907,953
Alaska,907,957
Alaska,907,971
Alaska,907,978
Alaska,907,982
Alaska,907,987
Arizona,623,203
Arizona,623,204
Arizona,623,205
Arizona,623,206
Arizona,623,208
Arizona,623,223
Arizona,623,224
Arizona,623,225
Arizona,623,229
Arizona,623,233
Arizona,623,236
Arizona,623,237
Arizona,623,238
Arizona,623,241
Arizona,623,243
Arizona,623,249
Arizona,623,251
Arizona,623,258
Arizona,623,262
Arizona,623,271
Arizona,623,277
Arizona,623,301
Arizona,623,302
Arizona,623,305
Arizona,623,306
Arizona,623,313
Arizona,623,329
Arizona,623,336
Arizona,623,363
Arizona,623,377
Arizona,623,387
Arizona,623,396
Arizona,623,418
Arizona,623,419
Arizona,623,473
Arizona,623,498
Arizona,623,606
Arizona,623,633
Arizona,623,640
Arizona,623,670
Arizona,623,680
Arizona,623,688
Arizona,623,692
Arizona,623,693
Arizona,623,694
Arizona,623,695
Arizona,623,696
Arizona,623,698
Arizona,623,755
Arizona,623,810
Arizona,623,826
Arizona,623,910
Arizona,623,980
Arizona,623,986
Arizona,602,201
Arizona,602,202
Arizona,602,204
Arizona,602,205
Arizona,602,206
Arizona,602,215
Arizona,602,228
Arizona,602,245
Arizona,602,259
Arizona,602,284
Arizona,602,289
Arizona,602,290
Arizona,602,291
Arizona,602,292
Arizona,602,299
Arizona,602,300
Arizona,602,309
Arizona,602,315
Arizona,602,316
Arizona,602,317
Arizona,602,319
Arizona,602,320
Arizona,602,321
Arizona,602,327
Arizona,602,329
Arizona,602,339
Arizona,602,341
Arizona,602,342
Arizona,602,348
Arizona,602,350
Arizona,602,356
Arizona,602,359
Arizona,602,360
Arizona,602,361
Arizona,602,363
Arizona,602,367
Arizona,602,370
Arizona,602,376
Arizona,602,377
Arizona,602,390
Arizona,602,396
Arizona,602,397
Arizona,602,399
Arizona,602,402
Arizona,602,413
Arizona,602,418
Arizona,602,421
Arizona,602,423
Arizona,602,432
Arizona,602,434
Arizona,602,435
Arizona,602,446
Arizona,602,448
Arizona,602,450
Arizona,602,463
Arizona,602,465
Arizona,602,469
Arizona,602,475
Arizona,602,478
Arizona,602,486
Arizona,602,487
Arizona,602,488
Arizona,602,489
Arizona,602,492
Arizona,602,499
Arizona,602,501
Arizona,602,509
Arizona,602,510
Arizona,602,513
Arizona,602,518
Arizona,602,524
Arizona,602,525
Arizona,602,526
Arizona,602,527
Arizona,602,531
Arizona,602,538
Arizona,602,540
Arizona,602,541
Arizona,602,549
Arizona,602,550
Arizona,602,558
Arizona,602,568
Arizona,602,571
Arizona,602,591
Arizona,602,592
Arizona,602,615
Arizona,602,616
Arizona,602,617
Arizona,602,618
Arizona,602,619
Arizona,602,620
Arizona,602,621
Arizona,602,622
Arizona,602,625
Arizona,602,639
Arizona,602,645
Arizona,602,646
Arizona,602,647
Arizona,602,653
